	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	统招本科	5年以上	10-20k·12薪	2020年04月10日	开发经理/高级开发经理（湖北、河北、天津）	武汉-崇仁	特变电工新能源	https://www.liepin.com/job/1921200893.shtml	https://www.liepin.com/company/7953390/
1	大专及以上	2年以上	8-15k·16薪	2020年04月10日	苏州-机器人调试工程师	苏州-工业园区	邦纳	https://www.liepin.com/job/1921011781.shtml	https://www.liepin.com/company/7885032/
2	本科及以上	经验不限	7-8k·13薪	2020年04月10日	储备干部		创挚管理咨询(上海)有限公司	https://www.liepin.com/job/1920655957.shtml	https://www.liepin.com/company/10041091/
3	本科及以上	3年以上	5-8k·12薪	2020年04月10日	Execution officer （transaction)	天津-滨海新区	路易达孚(中国)贸易有限责任公司	https://www.liepin.com/job/1920456875.shtml	https://www.liepin.com/company/8958387/
4	本科及以上	3年以上	5-8k·12薪	2020年04月10日	Execution officer(contract)	天津-滨海新区	路易达孚(中国)贸易有限责任公司	https://www.liepin.com/job/1920456873.shtml	https://www.liepin.com/company/8958387/
5	本科及以上	3年以上	5-8k·12薪	2020年04月10日	International Execution Officer	天津-滨海新区	路易达孚(中国)贸易有限责任公司	https://www.liepin.com/job/1920456871.shtml	https://www.liepin.com/company/8958387/
6	大专及以上	1年以上	4-8k·12薪	2020年04月10日	平面设计师	潍坊	潍坊傲世无双广告策划有限公司	https://www.liepin.com/job/1920449831.shtml	https://www.liepin.com/company/10064227/
7	本科及以上	1年以上	4-5k·13薪	2020年04月10日	储备干部	连云港	创挚管理咨询(上海)有限公司	https://www.liepin.com/job/1920441681.shtml	https://www.liepin.com/company/10041091/
8	本科及以上	2年以上	7-9k·12薪	2020年04月10日	党建专员	合肥	安徽万瑞冷电科技有限公司	https://www.liepin.com/job/1920417361.shtml	https://www.liepin.com/company/8121272/
9	大专及以上	5年以上	面议	2020年04月10日	大客户经理（食品工业原料）	上海-真如	上海欣融食品原料有限公司	https://www.liepin.com/job/1920349309.shtml	https://www.liepin.com/company/9764327/
10	大专及以上	3年以上	5-8k·12薪	2020年04月10日	测量工程师-河南省内/五险一金	郑州-中原区	河南鼎岳建筑工程有限公司	https://www.liepin.com/job/1920134429.shtml	https://www.liepin.com/company/9773217/
11	本科及以上	5年以上	10-30k·12薪	2020年04月10日	支行行长	宁波	平安银行股份有限公司宁波分行	https://www.liepin.com/job/1920082537.shtml	https://www.liepin.com/company/8037727/
12	大专及以上	2年以上	9-12k·12薪	2020年04月10日	java开发工程师	长春-经开区	青胴(吉林)网络科技有限公司	https://www.liepin.com/job/1920066253.shtml	https://www.liepin.com/company/10003219/
13	大专及以上	2年以上	9-12k·12薪	2020年04月10日	web前端开发工程师	长春-经开区	青胴(吉林)网络科技有限公司	https://www.liepin.com/job/1920066187.shtml	https://www.liepin.com/company/10003219/
14	本科及以上	5年以上	10-16k·12薪	2020年04月10日	集团财务经理		徽创地产	https://www.liepin.com/job/1919986193.shtml	https://www.liepin.com/company/8964673/
15	统招本科	5年以上	13-18k·14薪	2020年04月10日	场道职员或副经理		远东控股集团	https://www.liepin.com/job/1919851771.shtml	https://www.liepin.com/company/2892805/
16	统招本科	经验不限	8-15k·12薪	2020年04月10日	董事长秘书	广州	广州市置力投资集团有限公司	https://www.liepin.com/job/1919850611.shtml	https://www.liepin.com/company/10003323/
17	大专及以上	经验不限	8-12k·12薪	2020年04月10日	教育咨询师（高薪、7家校区）	郑州-金水区	郑州优实力教育咨询有限公司	https://www.liepin.com/job/1919809471.shtml	https://www.liepin.com/company/10026575/
18	本科及以上	5年以上	10-20k·12薪	2020年04月10日	营销经理（内蒙古、东北区域）	呼和浩特	特变电工新能源	https://www.liepin.com/job/1919649057.shtml	https://www.liepin.com/company/7953390/
19	大专及以上	3年以上	8-15k·12薪	2020年04月10日	项目经理	温州	瑞明工业	https://www.liepin.com/job/1919509679.shtml	https://www.liepin.com/company/8104011/
20	统招本科	1年以上	8-11k·13薪	2020年04月10日	资深文案	广州-天河区	广州上之商业股份有限公司(品牌：单农)	https://www.liepin.com/job/1919401099.shtml	https://www.liepin.com/company/8069501/
21	本科及以上	3年以上	8-10k·14薪	2020年04月10日	市场专员/Marketing officer	武汉-蔡甸区	牧野汽车装备(武汉)有限公司	https://www.liepin.com/job/1919349337.shtml	https://www.liepin.com/company/9930625/
22	大专及以上	2年以上	面议	2020年04月10日	.net软件开发工程师/软件开发工程师	南京	艾德克斯电子(南京)有限公司	https://www.liepin.com/job/1919276627.shtml	https://www.liepin.com/company/7925874/
23	大专及以上	3年以上	面议	2020年04月10日	生产主管	上海	上海微创心通医疗科技有限公司	https://www.liepin.com/job/1919242117.shtml	https://www.liepin.com/company/9494398/
24	硕士及以上	8年以上	35-45k·13薪	2020年04月10日	研发总监		海南卫康制药（潜山）有限公司	https://www.liepin.com/job/1919231311.shtml	https://www.liepin.com/company/9496098/
25	本科及以上	2年以上	面议	2020年04月10日	硬件工程师	东莞-莞城区	东莞市凯福机电有限公司	https://www.liepin.com/job/1919175519.shtml	https://www.liepin.com/company/9997129/
26	大专及以上	经验不限	8-10k·12薪	2020年04月10日	销售工程师（东莞）	东莞	东莞市凯福机电有限公司	https://www.liepin.com/job/1919062899.shtml	https://www.liepin.com/company/9997129/
27	本科及以上	经验不限	5-6k·12薪	2020年04月10日	供应商质量工程师	杭州	杭州福斯特	https://www.liepin.com/job/1918835529.shtml	https://www.liepin.com/company/9497194/
28	本科及以上	3年以上	6-8k·12薪	2020年04月10日	人事主管	北京	合众传播	https://www.liepin.com/job/1918816671.shtml	https://www.liepin.com/company/5278891/
29	统招本科	5年以上	面议	2020年04月10日	室内设计总监	深圳-南山区	深圳市兰兹酒店管理有限公司	https://www.liepin.com/job/1918805267.shtml	https://www.liepin.com/company/9706919/
30	大专及以上	3年以上	面议	2020年04月10日	软件销售经理	上海-漕河泾	上海麦汇信息科技有限公司	https://www.liepin.com/job/1918767511.shtml	https://www.liepin.com/company/8976049/
31	大专及以上	5年以上	25-35k·12薪	2020年04月10日	策划总监	北京	映盛中国	https://www.liepin.com/job/1918567637.shtml	https://www.liepin.com/company/9478865/
32	大专及以上	3年以上	8-10k·12薪	2020年04月10日	集团采购工程师	东莞-松山湖	万润科技	https://www.liepin.com/job/1918310753.shtml	https://www.liepin.com/company/1527296/
33	统招本科	3年以上	10-15k·13薪	2020年04月10日	FAE工程师	深圳	珠海普林芯驰科技有限公司	https://www.liepin.com/job/1918207367.shtml	https://www.liepin.com/company/9626894/
34	本科及以上	经验不限	5-8k·12薪	2020年04月10日	采购工程师	杭州	杭州福斯特	https://www.liepin.com/job/1918168471.shtml	https://www.liepin.com/company/9497194/
35	硕士及以上	5年以上	面议	2020年04月10日	科研服务-大区经理-北京		北京博奥晶典生物技术有限公司	https://www.liepin.com/job/1918152375.shtml	https://www.liepin.com/company/8025570/
36	统招本科	3年以上	14-28k·12薪	2020年04月10日	产品经理	上海	华锐金融技术	https://www.liepin.com/job/1917881289.shtml	https://www.liepin.com/company/9289404/
37	统招本科	经验不限	6-8k·12薪	2020年04月10日	基金运营		北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1917631555.shtml	https://www.liepin.com/company/9267628/
38	统招本科	3年以上	面议	2020年04月10日	软件工程师	苏州	珂纳医疗科技(苏州)有限公司	https://www.liepin.com/job/1917474055.shtml	https://www.liepin.com/company/8122169/
39	学历不限	经验不限	12-15k·12薪	2020年04月10日	质量主管		北京博宇半导体工艺器皿技术有限公司	https://www.liepin.com/job/1917353005.shtml	https://www.liepin.com/company/9353894/
