	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	大专及以上	3年以上	8-12k·12薪	2020年04月10日	电商营运经理	常州-金坛区	江苏五香居食品有限公司	https://www.liepin.com/job/1927167259.shtml	https://www.liepin.com/company/8501262/
1	统招本科	3年以上	5-10k·12薪	2020年04月10日	理财经理	青岛-市北区	绿地金融投资控股集团有限公司	https://www.liepin.com/job/1927167229.shtml	https://www.liepin.com/company/8579686/
2	大专及以上	8年以上	60-85k·12薪	2020年04月10日	区域总经理（核桃油）	武汉-水果湖	湖北骏马贸易有限公司	https://www.liepin.com/job/1927155423.shtml	https://www.liepin.com/company/8829288/
3	大专及以上	1年以上	8-10k·12薪	2020年04月10日	外贸业务电子烟	深圳-福永	深圳市五典科技有限公司	https://www.liepin.com/job/1927145073.shtml	https://www.liepin.com/company/12182807/
4	大专及以上	3年以上	20-30k·14薪	2020年04月10日	大数据开发工程师	上海-浦东新区	上海鲲驰贸易发展有限公司	https://www.liepin.com/job/1927143229.shtml	https://www.liepin.com/company/8584469/
5	学历不限	5年以上	10-20k·12薪	2020年04月10日	大客户经理/销售代表(昆明区域)	昆明	北京三维海容科技有限公司	https://www.liepin.com/job/1927121281.shtml	https://www.liepin.com/company/917525/
6	大专及以上	5年以上	7-12k·12薪	2020年04月10日	造价项目经理（土建、市政、安装）	成都	四川同兴达建设咨询有限公司	https://www.liepin.com/job/1927115715.shtml	https://www.liepin.com/company/8966461/
7	统招本科	经验不限	7-9k·12薪	2020年04月10日	产业方投资助理	杭州-东四	北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1927105189.shtml	https://www.liepin.com/company/9267628/
8	大专及以上	3年以上	9-15k·12薪	2020年04月10日	策划经理	广州-越秀区	广州沐菁霖广告策划有限公司	https://www.liepin.com/job/1927100109.shtml	https://www.liepin.com/company/9473768/
9	本科及以上	3年以上	20-35k·14薪	2020年04月10日	模拟IC设计工程师	深圳	深圳贝特莱电子科技股份有限公司	https://www.liepin.com/job/1927098705.shtml	https://www.liepin.com/company/5040009/
10	本科及以上	3年以上	面议	2020年04月10日	审计主管	珠海-香洲区	珠海市香洲正方控股有限公司	https://www.liepin.com/job/1927097945.shtml	https://www.liepin.com/company/9669313/
11	大专及以上	10年以上	面议	2020年04月10日	工程总经理	郑州	华诚博远工程咨询有限公司郑州分公司	https://www.liepin.com/job/1927094749.shtml	https://www.liepin.com/company/9260779/
12	大专及以上	5年以上	面议	2020年04月10日	PCB Layout Engineer	上海	萨康电子(上海)有限公司	https://www.liepin.com/job/1927091397.shtml	https://www.liepin.com/company/8487375/
13	本科及以上	3年以上	8-10k·12薪	2020年04月10日	学校新媒体运营员School New Media Reporter	上海-浦东新区	耀华	https://www.liepin.com/job/1927090327.shtml	https://www.liepin.com/company/5107531/
14	本科及以上	1年以上	12-17k·13薪	2020年04月10日	电商平台运营		北京凯声文化传媒有限责任公司	https://www.liepin.com/job/1927064819.shtml	https://www.liepin.com/company/8982675/
15	统招本科	5年以上	5-7k·12薪	2020年04月10日	招聘经理	保定	耐斯园区建设发展有限公司	https://www.liepin.com/job/1927062623.shtml	https://www.liepin.com/company/9999113/
16	本科及以上	1年以上	6-8k·12薪	2020年04月10日	市场策划	武汉-江岸区	以赴(武汉)出国留学咨询有限公司	https://www.liepin.com/job/1927032649.shtml	https://www.liepin.com/company/9732209/
17	学历不限	5年以上	10-20k·12薪	2020年04月10日	大客户经理/销售代表(深圳区域)	深圳-南山区	北京三维海容科技有限公司	https://www.liepin.com/job/1927026619.shtml	https://www.liepin.com/company/917525/
18	大专及以上	2年以上	6-8k·12薪	2020年04月10日	平面设计师	广东	梵思诺	https://www.liepin.com/job/1927022157.shtml	https://www.liepin.com/company/7854904/
19	大专及以上	3年以上	7-10k·12薪	2020年04月10日	店铺经理-商丘新马特店	商丘	迪阿股份有限公司	https://www.liepin.com/job/1927017931.shtml	https://www.liepin.com/company/8186347/
20	本科及以上	1年以上	9-14k·12薪	2020年04月10日	品类运营	北京-和平里	省钱快报	https://www.liepin.com/job/1927016625.shtml	https://www.liepin.com/company/8177417/
21	本科及以上	4年以上	20-30k·12薪	2020年04月10日	Senior Data Acquisition Manager	上海-静安区	翱觅苷(上海)信息科技有限公司	https://www.liepin.com/job/1927010145.shtml	https://www.liepin.com/company/10041023/
22	本科及以上	5年以上	6-12k·12薪	2020年04月10日	品质专家（冰箱压缩机行业）	黄石	黄石东贝机电集团有限责任公司	https://www.liepin.com/job/1927006033.shtml	https://www.liepin.com/company/8030794/
23	统招本科	5年以上	20-35k·15薪	2020年04月10日	资深java开发工程师（toC预订）		北京美住必成科技有限公司	https://www.liepin.com/job/1926996761.shtml	https://www.liepin.com/company/9863737/
