	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	3年以上	面议	2020年04月10日	风控审计主管	广州	宏宇地产	https://www.liepin.com/job/1924450483.shtml	https://www.liepin.com/company/7981214/
1	大专及以上	2年以上	8-15k·12薪	2020年04月10日	私行理财经理	石家庄-青园	宜信公司	https://www.liepin.com/job/1924385641.shtml	https://www.liepin.com/company/891743/
2	大专及以上	经验不限	3-8k·12薪	2020年04月10日	销售专员	西安-高新区	陕西润华环保科技有限公司	https://www.liepin.com/job/1924340825.shtml	https://www.liepin.com/company/10192659/
3	本科及以上	6年以上	35-45k·15薪	2020年04月10日	金融产品副总监	上海-浦东新区	你我贷	https://www.liepin.com/job/1924311567.shtml	https://www.liepin.com/company/8639190/
4	本科及以上	5年以上	15-25k·12薪	2020年04月10日	贵宾团队经理	天津	宜信公司	https://www.liepin.com/job/1924296461.shtml	https://www.liepin.com/company/891743/
5	统招本科	5年以上	8-12k·12薪	2020年04月10日	技术部长	常德	常德思高技术有限公司	https://www.liepin.com/job/1924249155.shtml	https://www.liepin.com/company/9239754/
6	本科及以上	3年以上	面议	2020年04月10日	Verification Engineer	上海-徐家汇	锐开(北京)科技有限公司	https://www.liepin.com/job/1924179061.shtml	https://www.liepin.com/company/9601624/
7	大专及以上	5年以上	25-40k·12薪	2020年04月10日	销售总监	广州-增城区	香港皇朝傢俬集团有限公司	https://www.liepin.com/job/1924113685.shtml	https://www.liepin.com/company/10082497/
8	学历不限	3年以上	10-15k·16薪	2020年04月10日	0921IB-医疗网络拓展岗	上海	平安健康保险	https://www.liepin.com/job/1924088635.shtml	https://www.liepin.com/company/3460894/
9	本科及以上	4年以上	20-40k·12薪	2020年04月10日	产品经理（大数据、信用）	北京	数知科技	https://www.liepin.com/job/1923959187.shtml	https://www.liepin.com/company/9765593/
10	本科及以上	2年以上	8-13k·13薪	2020年04月10日	新媒体运营策划	上海	亚廷营销策划(上海)有限公司	https://www.liepin.com/job/1923942519.shtml	https://www.liepin.com/company/10114827/
11	本科及以上	3年以上	9-11k·13薪	2020年04月10日	产品经理	杭州-余杭区	杭州广茂户外用品有限公司	https://www.liepin.com/job/1923932703.shtml	https://www.liepin.com/company/9707437/
12	大专及以上	1年以上	6-9k·13薪	2020年04月10日	业务跟单	上海-浦东新区	玉龙股份	https://www.liepin.com/job/1923859619.shtml	https://www.liepin.com/company/7921978/
13	本科及以上	5年以上	10-15k·12薪	2020年04月10日	高级理财师	大连	宜信公司	https://www.liepin.com/job/1923644279.shtml	https://www.liepin.com/company/891743/
14	统招本科	5年以上	12-18k·12薪	2020年04月10日	品牌经理	广州-官洲	美环健芦荟制品	https://www.liepin.com/job/1923621795.shtml	https://www.liepin.com/company/7894719/
