	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	大专及以上	5年以上	8-12k·12薪	2020年04月10日	拼多多电商运营总监	太原	山西嘉世达机器人技术有限公司	https://www.liepin.com/job/1927318463.shtml	https://www.liepin.com/company/8687125/
1	大专及以上	1年以上	8-15k·12薪	2020年04月10日	销售	上海-江湾	上海优之元商务咨询有限公司	https://www.liepin.com/job/1927312185.shtml	https://www.liepin.com/company/12177239/
2	硕士及以上	2年以上	15-20k·12薪	2020年04月10日	人力资源经理	广州	南方传媒	https://www.liepin.com/job/1927306603.shtml	https://www.liepin.com/company/5576863/
3	大专及以上	1年以上	4-5k·12薪	2020年04月10日	外贸业务助理	佛山	广东信华电器有限公司	https://www.liepin.com/job/1927306465.shtml	https://www.liepin.com/company/9413667/
4	统招本科	5年以上	10-20k·12薪	2020年04月10日	财务经理	惠州	金百泽	https://www.liepin.com/job/1927306267.shtml	https://www.liepin.com/company/1758908/
5	统招本科	3年以上	15-25k·13薪	2020年04月10日	招聘经理	北京	朴新教育	https://www.liepin.com/job/1927306211.shtml	https://www.liepin.com/company/8786954/
6	统招本科	5年以上	20-30k·12薪	2020年04月10日	综合管理经理	郑州-金水区	河南梅隆实业有限公司	https://www.liepin.com/job/1927306117.shtml	https://www.liepin.com/company/9295269/
7	本科及以上	5年以上	15-25k·14薪	2020年04月10日	高级Python工程师	广州	广东中思拓大数据研究院有限公司	https://www.liepin.com/job/1927302557.shtml	https://www.liepin.com/company/12200883/
8	大专及以上	2年以上	面议	2020年04月10日	客户服务工程师 - 渠道	上海-徐家汇	捷德太平洋设备(上海)有限公司	https://www.liepin.com/job/1927301093.shtml	https://www.liepin.com/company/10239217/
9	本科及以上	5年以上	16-25k·12薪	2020年04月10日	软件售前工程师	广州-天河区	创能科技	https://www.liepin.com/job/1927297737.shtml	https://www.liepin.com/company/7992349/
10	大专及以上	5年以上	4-6k·12薪	2020年04月10日	房产销售主管（置业顾问组长）	杭州	杭州华元房地产	https://www.liepin.com/job/1927296205.shtml	https://www.liepin.com/company/7864151/
11	大专及以上	1年以上	8-10k·12薪	2020年04月10日	汽车销售顾问	天津	天津天杭汽车工业贸易有限公司	https://www.liepin.com/job/1927296179.shtml	https://www.liepin.com/company/10108667/
12	本科及以上	2年以上	6-8k·12薪	2020年04月10日	实验室专员	上海	上海嘉亨日用化学品有限公司	https://www.liepin.com/job/1927295587.shtml	https://www.liepin.com/company/7958409/
13	大专及以上	3年以上	10-15k·12薪	2020年04月10日	CRO销售	南京-栖霞区	美药星(南京)制药有限公司	https://www.liepin.com/job/1927293443.shtml	https://www.liepin.com/company/9296589/
14	本科及以上	1年以上	8-15k·12薪	2020年04月10日	品牌策划经理	北京	《财经》全媒体	https://www.liepin.com/job/1927293005.shtml	https://www.liepin.com/company/8458642/
